SNS,CTR
FB,0.056
FB,0.053
FB,0.046
FB,0.04
FB,0.038
FB,0.038
FB,0.037
FB,0.036
FB,0.036
FB,0.035
FB,0.035
FB,0.033
FB,0.033
FB,0.032
FB,0.031
FB,0.03
FB,0.03
FB,0.03
FB,0.029
FB,0.029
FB,0.029
FB,0.028
FB,0.028
FB,0.028
FB,0.027
FB,0.027
FB,0.027
FB,0.023
FB,0.023
FB,0.023
FB,0.022
FB,0.021
FB,0.021
FB,0.021
FB,0.021
FB,0.02
FB,0.02
FB,0.02
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.019
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.018
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.017
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.016
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.015
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.014
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.013
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.012
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.011
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.01
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.009
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.008
FB,0.007
FB,0.007
FB,0.007
FB,0.007
FB,0.007
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.006
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.005
FB,0.004
FB,0.004
FB,0.004
FB,0.004
FB,0.003
FB,0.003
FB,0.002
IG,0.12
IG,0.071
IG,0.071
IG,0.065
IG,0.064
IG,0.058
IG,0.055
IG,0.055
IG,0.051
IG,0.049
IG,0.048
IG,0.048
IG,0.047
IG,0.045
IG,0.044
IG,0.044
IG,0.043
IG,0.043
IG,0.043
IG,0.042
IG,0.042
IG,0.042
IG,0.042
IG,0.041
IG,0.041
IG,0.039
IG,0.039
IG,0.039
IG,0.038
IG,0.038
IG,0.038
IG,0.037
IG,0.037
IG,0.037
IG,0.037
IG,0.036
IG,0.036
IG,0.034
IG,0.034
IG,0.034
IG,0.034
IG,0.034
IG,0.033
IG,0.033
IG,0.032
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.031
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.03
IG,0.029
IG,0.029
IG,0.029
IG,0.029
IG,0.029
IG,0.029
IG,0.028
IG,0.028
