SNS Platform,Framing,Appeal,Model,Product,Season,CTR
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.029643026
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.027157062
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.015993638
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.015020653
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.016605378
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.010796152
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.010637712
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.016455017
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.008988649
Instagram,Positive,Rational,Profession,Procedure,Non-Season,0.026511019
Facebook,Positive,Rational,Profession,Procedure,Non-Season,0.015457078
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.016157205
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.010294806
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.071090594
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.032374101
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.011341416
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.013250195
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.008701958
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.010459588
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.018937644
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.012246821
Instagram,Negative,Emotional,Character,Procedure,Non-Season,0.019422395
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.019520357
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.018841418
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.008716707
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.010209042
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.008536065
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.023403218
Facebook,Negative,Emotional,Ordinary,Procedure,Non-Season,0.009838147
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.01845958
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.008282476
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.028215768
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.013456686
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.071083591
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.065195835
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.055480743
Instagram,Negative,Emotional,Ordinary,Procedure,Non-Season,0.054636137
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.026567164
Instagram,Positive,Emotional,Character,Procedure,Non-Season,0.037037037
Facebook,Positive,Emotional,Character,Procedure,Non-Season,0.035213369
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.029146794
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.055673383
Instagram,Positive,Emotional,Ordinary,Procedure,Non-Season,0.049436253
Facebook,Positive,Emotional,Ordinary,Procedure,Non-Season,0.036956992
Instagram,Positive,Emotional,Character,Procedure,Non-Season,0.031376697
Facebook,Positive,Emotional,Character,Procedure,Non-Season,0.02343426
Instagram,Positive,Rational,Character,Procedure,Non-Season,0.033835362
Facebook,Positive,Rational,Character,Procedure,Non-Season,0.032971929
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.002608696
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.008221686
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.009004546
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.009338883
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.012134725
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.015024748
Facebook,Positive,Emotional,Ordinary,Suction,Non-Season,0.023303216
Instagram,Positive,Emotional,Character,Suction,Non-Season,0.00278607
Instagram,Negative,Emotional,Character,Suction,Non-Season,0.005428078
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.023479189
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.063903282
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.013788022
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.013403782
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.02590623
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.012046143
Facebook,Positive,Rational,Character,Suction,Non-Season,0.006912504
Instagram,Positive,Rational,Character,Suction,Non-Season,0.016380397
Instagram,Positive,Rational,Profession,Suction,Non-Season,0.013649807
Instagram,Positive,Emotional,Ordinary,Suction,Non-Season,0.012461403
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.008534172
Instagram,Positive,Rational,Character,Suction,Non-Season,0.009138065
Facebook,Positive,Rational,Ordinary,Suction,Non-Season,0.006825233
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.004178538
Facebook,Positive,Rational,Ordinary,Suction,Non-Season,0.004878049
Instagram,Positive,Rational,Ordinary,Suction,Non-Season,0.037914692
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.008983829
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.032870321
Facebook,Positive,Rational,Ordinary,Procedure,Non-Season,0.004719042
Instagram,Positive,Rational,Ordinary,Procedure,Non-Season,0.024212852
Facebook,Positive,Rational,Ordinary,Suction,Non-Season,0.008583183
