Framing,Appeal,Models,CTR
Positive,Rational,Character,0.03
Positive,Emotional,Ordinary,0.027
Positive,Emotional,Ordinary,0.016
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.017
Positive,Emotional,Ordinary,0.011
Positive,Emotional,Ordinary,0.011
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.009
Positive,Rational,Expert,0.027
Positive,Rational,Expert,0.015
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.01
Negative,Emotional,Ordinary,0.071
Positive,Emotional,Ordinary,0.032
Positive,Rational,Ordinary,0.011
Positive,Rational,Ordinary,0.013
Positive,Emotional,Ordinary,0.009
Positive,Emotional,Ordinary,0.01
Positive,Rational,Character,0.019
Positive,Rational,Character,0.012
Negative,Emotional,Character,0.019
Positive,Rational,Character,0.02
Positive,Rational,Character,0.019
Positive,Rational,Ordinary,0.009
Positive,Emotional,Ordinary,0.01
Positive,Emotional,Ordinary,0.009
Negative,Emotional,Ordinary,0.023
Negative,Emotional,Ordinary,0.01
Positive,Rational,Ordinary,0.018
Positive,Rational,Ordinary,0.008
Positive,Rational,Ordinary,0.028
Positive,Rational,Ordinary,0.013
Negative,Emotional,Ordinary,0.071
Positive,Emotional,Ordinary,0.065
Negative,Emotional,Ordinary,0.055
Negative,Emotional,Ordinary,0.055
Positive,Rational,Ordinary,0.027
Positive,Emotional,Character,0.037
Positive,Emotional,Character,0.035
Positive,Rational,Character,0.029
Positive,Rational,Character,0.056
Positive,Emotional,Ordinary,0.049
Positive,Emotional,Ordinary,0.037
Positive,Emotional,Character,0.031
Positive,Emotional,Character,0.023
Positive,Rational,Character,0.034
Positive,Rational,Character,0.033
Positive,Rational,Ordinary,0.003
Positive,Emotional,Ordinary,0.008
Positive,Rational,Expert,0.009
Positive,Rational,Expert,0.009
Positive,Emotional,Ordinary,0.012
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.023
Positive,Emotional,Character,0.003
Negative,Emotional,Character,0.005
Positive,Rational,Ordinary,0.023
Positive,Rational,Ordinary,0.064
Positive,Emotional,Ordinary,0.014
Positive,Emotional,Ordinary,0.013
Positive,Rational,Ordinary,0.026
Positive,Emotional,Ordinary,0.012
Positive,Rational,Character,0.007
Positive,Rational,Character,0.016
Positive,Rational,Expert,0.014
Positive,Emotional,Ordinary,0.012
Positive,Rational,Ordinary,0.009
Positive,Rational,Character,0.009
Positive,Rational,Ordinary,0.007
Positive,Rational,Ordinary,0.004
Positive,Rational,Ordinary,0.005
Positive,Rational,Ordinary,0.038
Positive,Rational,Ordinary,0.009
Positive,Rational,Ordinary,0.033
Positive,Rational,Ordinary,0.005
Positive,Rational,Ordinary,0.024
Positive,Rational,Ordinary,0.009
Positive,Rational,Ordinary,0.045
Positive,Rational,Character,0.024
Positive,Rational,Expert,0.014
Positive,Emotional,Ordinary,0.019
Positive,Emotional,Ordinary,0.013
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.014
Positive,Emotional,Ordinary,0.012
Positive,Emotional,Ordinary,0.01
Positive,Rational,Ordinary,0.018
Positive,Rational,Ordinary,0.013
Positive,Rational,Expert,0.022
Positive,Rational,Expert,0.015
Positive,Rational,Ordinary,0.01
Positive,Rational,Ordinary,0.014
Negative,Emotional,Ordinary,0.047
Negative,Emotional,Ordinary,0.021
Negative,Emotional,Ordinary,0.024
Negative,Emotional,Ordinary,0.012
Negative,Emotional,Ordinary,0.028
Negative,Emotional,Ordinary,0.01
Positive,Emotional,Ordinary,0.044
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.038
Positive,Emotional,Ordinary,0.014
Positive,Rational,Ordinary,0.011
Positive,Emotional,Ordinary,0.016
Positive,Rational,Ordinary,0.013
Positive,Rational,Ordinary,0.015
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.022
Positive,Rational,Character,0.02
Positive,Rational,Character,0.01
Negative,Emotional,Character,0.026
Negative,Emotional,Character,0.017
Positive,Rational,Character,0.041
Positive,Rational,Character,0.03
Positive,Rational,Character,0.026
Positive,Rational,Character,0.023
Positive,Rational,Ordinary,0.019
Positive,Emotional,Ordinary,0.01
Positive,Emotional,Ordinary,0.016
Positive,Rational,Expert,0.018
Positive,Rational,Expert,0.013
Positive,Emotional,Ordinary,0.017
Positive,Emotional,Ordinary,0.028
Positive,Emotional,Ordinary,0.034
Positive,Emotional,Ordinary,0.009
Positive,Rational,Ordinary,0.021
Positive,Emotional,Ordinary,0.014
Positive,Rational,Ordinary,0.029
Positive,Emotional,Character,0.015
Negative,Emotional,Character,0.012
Positive,Rational,Ordinary,0.037
Positive,Emotional,Ordinary,0.02
Positive,Rational,Character,0.006
Positive,Rational,Character,0.017
Positive,Rational,Expert,0.012
Positive,Rational,Character,0.013
Negative,Emotional,Character,0.031
Positive,Emotional,Ordinary,0.009
Positive,Rational,Character,0.008
Positive,Rational,Character,0.028
Negative,Rational,Character,0.039
Positive,Rational,Expert,0.011
Positive,Rational,Ordinary,0.017
Positive,Rational,Ordinary,0.018
Positive,Rational,Expert,0.009
Positive,Rational,Expert,0.025
Positive,Emotional,Ordinary,0.03
Positive,Emotional,Ordinary,0.014
Positive,Emotional,Ordinary,0.004
Positive,Emotional,Ordinary,0.001
Positive,Emotional,Ordinary,0.006
Positive,Emotional,Ordinary,0.001
Positive,Rational,Character,0.019
Positive,Rational,Character,0.021
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.017
Positive,Rational,Ordinary,0.007
Positive,Rational,Expert,0.016
Positive,Rational,Expert,0.01
Positive,Rational,Expert,0.018
Positive,Rational,Expert,0.015
Positive,Rational,Ordinary,0.013
Positive,Rational,Ordinary,0.012
Positive,Rational,Ordinary,0.018
Positive,Rational,Ordinary,0.011
Positive,Rational,Ordinary,0.025
Positive,Rational,Ordinary,0.014
Positive,Rational,Ordinary,0.019
Positive,Rational,Ordinary,0.005
Positive,Rational,Ordinary,0.019
Positive,Rational,Ordinary,0.017
Positive,Rational,Ordinary,0.017
Positive,Emotional,Ordinary,0.034
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.019
Positive,Rational,Ordinary,0.012
Positive,Rational,Ordinary,0.012
Positive,Emotional,Ordinary,0.011
Positive,Emotional,Ordinary,0.022
Positive,Emotional,Ordinary,0.013
Positive,Emotional,Ordinary,0.025
Positive,Emotional,Ordinary,0.01
Positive,Emotional,Ordinary,0.011
Positive,Rational,Character,0.014
Positive,Rational,Character,0.008
Negative,Emotional,Character,0.02
Negative,Emotional,Character,0.014
Positive,Emotional,Ordinary,0.008
Positive,Emotional,Ordinary,0.008
Positive,Emotional,Ordinary,0.006
Positive,Emotional,Ordinary,0.008
Positive,Rational,Character,0.029
Positive,Rational,Character,0.027
Positive,Rational,Character,0.016
Positive,Rational,Character,0.015
Positive,Rational,Ordinary,0.018
Positive,Emotional,Ordinary,0.012
Positive,Emotional,Ordinary,0.012
Positive,Rational,Expert,0.012
Positive,Rational,Expert,0.015
Positive,Rational,Expert,0.013
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.029
Positive,Emotional,Ordinary,0.025
Positive,Rational,Ordinary,0.023
Positive,Rational,Ordinary,0.013
Positive,Emotional,Ordinary,0.01
Positive,Rational,Ordinary,0.021
Positive,Rational,Ordinary,0.042
Positive,Emotional,Ordinary,0.026
Positive,Rational,Character,0.006
Positive,Rational,Character,0.016
Positive,Rational,Expert,0.006
Positive,Rational,Expert,0.002
Positive,Rational,Character,0.012
Negative,Emotional,Character,0.017
Negative,Emotional,Ordinary,0.003
Positive,Emotional,Ordinary,0.012
Positive,Rational,Character,0.015
Positive,Rational,Expert,0.017
Positive,Rational,Ordinary,0.027
Positive,Rational,Ordinary,0.02
Positive,Rational,Ordinary,0.03
Positive,Rational,Ordinary,0.008
Positive,Emotional,Ordinary,0.036
Positive,Emotional,Ordinary,0.012
Positive,Rational,Ordinary,0.021
Positive,Rational,Ordinary,0.009
Positive,Emotional,Ordinary,0.02
Positive,Emotional,Ordinary,0.012
Positive,Rational,Character,0.018
Positive,Rational,Character,0.016
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.019
Positive,Rational,Ordinary,0.012
Positive,Rational,Expert,0.014
Positive,Rational,Expert,0.01
Positive,Emotional,Character,0.036
Positive,Rational,Expert,0.017
Positive,Rational,Expert,0.014
Positive,Rational,Ordinary,0.01
Positive,Rational,Ordinary,0.007
Positive,Emotional,Ordinary,0.028
Positive,Emotional,Ordinary,0.014
Positive,Emotional,Ordinary,0.025
Positive,Emotional,Ordinary,0.016
Positive,Emotional,Ordinary,0.025
Positive,Emotional,Ordinary,0.012
Positive,Emotional,Ordinary,0.013
Positive,Rational,Ordinary,0.012
Positive,Rational,Character,0.017
Positive,Rational,Character,0.008
Negative,Emotional,Character,0.021
Negative,Emotional,Character,0.013
Positive,Emotional,Expert,0.004
Positive,Rational,Ordinary,0.012
Positive,Rational,Expert,0.012
Positive,Rational,Expert,0.015
Positive,Emotional,Ordinary,0.02
Positive,Emotional,Ordinary,0.031
Positive,Emotional,Ordinary,0.027
Positive,Rational,Ordinary,0.012
Positive,Emotional,Ordinary,0.011
Positive,Rational,Character,0.021
Positive,Rational,Character,0.019
Positive,Rational,Ordinary,0.017
Positive,Rational,Ordinary,0.015
Positive,Rational,Ordinary,0.01
Positive,Rational,Expert,0.016
Positive,Rational,Expert,0.013
Positive,Emotional,Character,0.043
Positive,Emotional,Character,0.022
Positive,Rational,Expert,0.018
Positive,Rational,Expert,0.013
Positive,Rational,Ordinary,0.011
Positive,Rational,Ordinary,0.01
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.015
Positive,Rational,Ordinary,0.027
Positive,Rational,Ordinary,0.051
Positive,Rational,Ordinary,0.02
Positive,Rational,Ordinary,0.031
Positive,Rational,Character,0.016
Positive,Rational,Character,0.023
Positive,Rational,Ordinary,0.01
Negative,Emotional,Character,0.008
Negative,Emotional,Character,0.007
Positive,Emotional,Ordinary,0.017
Positive,Emotional,Ordinary,0.029
Positive,Emotional,Ordinary,0.03
Positive,Emotional,Expert,0.005
Positive,Emotional,Expert,0.003
Positive,Rational,Ordinary,0.011
Positive,Rational,Ordinary,0.016
Positive,Rational,Ordinary,0.028
Positive,Rational,Ordinary,0.014
Positive,Rational,Ordinary,0.016
Positive,Emotional,Ordinary,0.013
Positive,Emotional,Ordinary,0.015
Positive,Rational,Character,0.023
Positive,Rational,Character,0.019
Positive,Rational,Ordinary,0.02
Positive,Emotional,Ordinary,0.031
Positive,Emotional,Ordinary,0.014
Positive,Emotional,Ordinary,0.02
Positive,Rational,Ordinary,0.015
Positive,Rational,Ordinary,0.012
Positive,Rational,Expert,0.018
Positive,Rational,Expert,0.017
Positive,Emotional,Character,0.028
Positive,Emotional,Character,0.019
Positive,Rational,Ordinary,0.012
Positive,Emotional,Ordinary,0.016
Positive,Emotional,Ordinary,0.012
Positive,Rational,Ordinary,0.02
Negative,Emotional,Character,0.12
Negative,Emotional,Character,0.005
Positive,Emotional,Ordinary,0.019
Positive,Emotional,Ordinary,0.035
