채널,메시지프레이밍,메시지소구,광고모델, 클릭율 
IG,이득(향상적),이성적,캐릭터,0.030
IG,이득(향상적),감성적,일반인,0.027
FB,이득(향상적),감성적,일반인,0.016
IG,이득(향상적),감성적,일반인,0.015
FB,이득(향상적),감성적,일반인,0.017
IG,이득(향상적),감성적,일반인,0.011
FB,이득(향상적),감성적,일반인,0.011
IG,이득(향상적),이성적,일반인,0.016
IG,이득(향상적),이성적,일반인,0.009
IG,이득(향상적),이성적,전문가,0.027
FB,이득(향상적),이성적,전문가,0.015
IG,이득(향상적),이성적,일반인,0.016
FB,이득(향상적),이성적,일반인,0.010
IG,손실(예방적),감성적,일반인,0.071
IG,이득(향상적),감성적,일반인,0.032
IG,이득(향상적),이성적,일반인,0.011
IG,이득(향상적),이성적,일반인,0.013
IG,이득(향상적),감성적,일반인,0.009
FB,이득(향상적),감성적,일반인,0.010
IG,이득(향상적),이성적,캐릭터,0.019
FB,이득(향상적),이성적,캐릭터,0.012
IG,손실(예방적),감성적,캐릭터,0.019
IG,이득(향상적),이성적,캐릭터,0.020
IG,이득(향상적),이성적,캐릭터,0.019
FB,이득(향상적),이성적,일반인,0.009
IG,이득(향상적),감성적,일반인,0.010
FB,이득(향상적),감성적,일반인,0.009
IG,손실(예방적),감성적,일반인,0.023
FB,손실(예방적),감성적,일반인,0.010
IG,이득(향상적),이성적,일반인,0.018
FB,이득(향상적),이성적,일반인,0.008
IG,이득(향상적),이성적,일반인,0.028
FB,이득(향상적),이성적,일반인,0.013
IG,손실(예방적),감성적,일반인,0.071
IG,이득(향상적),감성적,일반인,0.065
IG,손실(예방적),감성적,일반인,0.055
IG,손실(예방적),감성적,일반인,0.055
FB,이득(향상적),이성적,일반인,0.027
IG,이득(향상적),감성적,캐릭터,0.037
FB,이득(향상적),감성적,캐릭터,0.035
IG,이득(향상적),이성적,캐릭터,0.029
FB,이득(향상적),이성적,캐릭터,0.056
IG,이득(향상적),감성적,일반인,0.049
FB,이득(향상적),감성적,일반인,0.037
IG,이득(향상적),감성적,캐릭터,0.031
FB,이득(향상적),감성적,캐릭터,0.023
IG,이득(향상적),이성적,캐릭터,0.034
FB,이득(향상적),이성적,캐릭터,0.033
IG,이득(향상적),이성적,일반인,0.003
IG,이득(향상적),감성적,일반인,0.008
IG,이득(향상적),이성적,전문가,0.009
IG,이득(향상적),이성적,전문가,0.009
IG,이득(향상적),감성적,일반인,0.012
IG,이득(향상적),감성적,일반인,0.015
