메시지프레이밍,메시지소구,광고모델, 클릭율 
이득(향상적),이성적,캐릭터,0.03
이득(향상적),감성적,일반인,0.027
이득(향상적),감성적,일반인,0.016
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,일반인,0.017
이득(향상적),감성적,일반인,0.011
이득(향상적),감성적,일반인,0.011
이득(향상적),이성적,일반인,0.016
이득(향상적),이성적,일반인,0.009
이득(향상적),이성적,전문가,0.027
이득(향상적),이성적,전문가,0.015
이득(향상적),이성적,일반인,0.016
이득(향상적),이성적,일반인,0.01
손실(예방적),감성적,일반인,0.071
이득(향상적),감성적,일반인,0.032
이득(향상적),이성적,일반인,0.011
이득(향상적),이성적,일반인,0.013
이득(향상적),감성적,일반인,0.009
이득(향상적),감성적,일반인,0.01
이득(향상적),이성적,캐릭터,0.019
이득(향상적),이성적,캐릭터,0.012
손실(예방적),감성적,캐릭터,0.019
이득(향상적),이성적,캐릭터,0.02
이득(향상적),이성적,캐릭터,0.019
이득(향상적),이성적,일반인,0.009
이득(향상적),감성적,일반인,0.01
이득(향상적),감성적,일반인,0.009
손실(예방적),감성적,일반인,0.023
손실(예방적),감성적,일반인,0.01
이득(향상적),이성적,일반인,0.018
이득(향상적),이성적,일반인,0.008
이득(향상적),이성적,일반인,0.028
이득(향상적),이성적,일반인,0.013
손실(예방적),감성적,일반인,0.071
이득(향상적),감성적,일반인,0.065
손실(예방적),감성적,일반인,0.055
손실(예방적),감성적,일반인,0.055
이득(향상적),이성적,일반인,0.027
이득(향상적),감성적,캐릭터,0.037
이득(향상적),감성적,캐릭터,0.035
이득(향상적),이성적,캐릭터,0.029
이득(향상적),이성적,캐릭터,0.056
이득(향상적),감성적,일반인,0.049
이득(향상적),감성적,일반인,0.037
이득(향상적),감성적,캐릭터,0.031
이득(향상적),감성적,캐릭터,0.023
이득(향상적),이성적,캐릭터,0.034
이득(향상적),이성적,캐릭터,0.033
이득(향상적),이성적,일반인,0.003
이득(향상적),감성적,일반인,0.008
이득(향상적),이성적,전문가,0.009
이득(향상적),이성적,전문가,0.009
이득(향상적),감성적,일반인,0.012
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,일반인,0.023
이득(향상적),감성적,캐릭터,0.003
손실(예방적),감성적,캐릭터,0.005
이득(향상적),이성적,일반인,0.023
이득(향상적),이성적,일반인,0.064
이득(향상적),감성적,일반인,0.014
이득(향상적),감성적,일반인,0.013
이득(향상적),이성적,일반인,0.026
이득(향상적),감성적,일반인,0.012
이득(향상적),이성적,캐릭터,0.007
이득(향상적),이성적,캐릭터,0.016
이득(향상적),이성적,전문가,0.014
이득(향상적),감성적,일반인,0.012
이득(향상적),이성적,일반인,0.009
이득(향상적),이성적,캐릭터,0.009
이득(향상적),이성적,일반인,0.007
이득(향상적),이성적,일반인,0.004
이득(향상적),이성적,일반인,0.005
이득(향상적),이성적,일반인,0.038
이득(향상적),이성적,일반인,0.009
이득(향상적),이성적,일반인,0.033
이득(향상적),이성적,일반인,0.005
이득(향상적),이성적,일반인,0.024
이득(향상적),이성적,일반인,0.009
이득(향상적),이성적,일반인,0.045
이득(향상적),이성적,캐릭터,0.024
이득(향상적),이성적,전문가,0.014
이득(향상적),감성적,일반인,0.019
이득(향상적),감성적,일반인,0.013
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,일반인,0.014
이득(향상적),감성적,일반인,0.012
이득(향상적),감성적,일반인,0.01
이득(향상적),이성적,일반인,0.018
이득(향상적),이성적,일반인,0.013
이득(향상적),이성적,전문가,0.022
이득(향상적),이성적,전문가,0.015
이득(향상적),이성적,일반인,0.01
이득(향상적),이성적,일반인,0.014
손실(예방적),감성적,일반인,0.047
손실(예방적),감성적,일반인,0.021
손실(예방적),감성적,일반인,0.024
손실(예방적),감성적,일반인,0.012
손실(예방적),감성적,일반인,0.028
손실(예방적),감성적,일반인,0.01
이득(향상적),감성적,일반인,0.044
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,일반인,0.038
이득(향상적),감성적,일반인,0.014
이득(향상적),이성적,일반인,0.011
이득(향상적),감성적,일반인,0.016
이득(향상적),이성적,일반인,0.013
이득(향상적),이성적,일반인,0.015
이득(향상적),이성적,일반인,0.016
이득(향상적),이성적,일반인,0.022
이득(향상적),이성적,캐릭터,0.02
이득(향상적),이성적,캐릭터,0.01
손실(예방적),감성적,캐릭터,0.026
손실(예방적),감성적,캐릭터,0.017
이득(향상적),이성적,캐릭터,0.041
이득(향상적),이성적,캐릭터,0.03
이득(향상적),이성적,캐릭터,0.026
이득(향상적),이성적,캐릭터,0.023
이득(향상적),이성적,일반인,0.019
이득(향상적),감성적,일반인,0.01
이득(향상적),감성적,일반인,0.016
이득(향상적),이성적,전문가,0.018
이득(향상적),이성적,전문가,0.013
이득(향상적),감성적,일반인,0.017
이득(향상적),감성적,일반인,0.028
이득(향상적),감성적,일반인,0.034
이득(향상적),감성적,일반인,0.009
이득(향상적),이성적,일반인,0.021
이득(향상적),감성적,일반인,0.014
이득(향상적),이성적,일반인,0.029
이득(향상적),감성적,캐릭터,0.015
손실(예방적),감성적,캐릭터,0.012
이득(향상적),이성적,일반인,0.037
이득(향상적),감성적,일반인,0.02
이득(향상적),이성적,캐릭터,0.006
이득(향상적),이성적,캐릭터,0.017
이득(향상적),이성적,전문가,0.012
이득(향상적),이성적,캐릭터,0.013
손실(예방적),감성적,캐릭터,0.031
이득(향상적),감성적,일반인,0.009
이득(향상적),이성적,캐릭터,0.008
이득(향상적),이성적,캐릭터,0.028
손실(예방적),이성적,캐릭터,0.039
이득(향상적),이성적,전문가,0.011
이득(향상적),이성적,일반인,0.017
이득(향상적),이성적,일반인,0.018
이득(향상적),이성적,전문가,0.009
이득(향상적),이성적,전문가,0.025
이득(향상적),감성적,일반인,0.03
이득(향상적),감성적,일반인,0.014
이득(향상적),감성적,일반인,0.004
이득(향상적),감성적,일반인,0.001
이득(향상적),감성적,일반인,0.006
이득(향상적),감성적,일반인,0.001
이득(향상적),이성적,캐릭터,0.019
이득(향상적),이성적,캐릭터,0.021
이득(향상적),이성적,일반인,0.016
이득(향상적),이성적,일반인,0.017
이득(향상적),이성적,일반인,0.007
이득(향상적),이성적,전문가,0.016
이득(향상적),이성적,전문가,0.01
이득(향상적),이성적,전문가,0.018
이득(향상적),이성적,전문가,0.015
이득(향상적),이성적,일반인,0.013
이득(향상적),이성적,일반인,0.012
이득(향상적),이성적,일반인,0.018
이득(향상적),이성적,일반인,0.011
이득(향상적),이성적,일반인,0.025
이득(향상적),이성적,일반인,0.014
이득(향상적),이성적,일반인,0.019
이득(향상적),이성적,일반인,0.005
이득(향상적),이성적,일반인,0.019
이득(향상적),이성적,일반인,0.017
이득(향상적),이성적,일반인,0.017
이득(향상적),감성적,일반인,0.034
이득(향상적),이성적,일반인,0.016
이득(향상적),이성적,일반인,0.019
이득(향상적),이성적,일반인,0.012
이득(향상적),이성적,일반인,0.012
이득(향상적),감성적,일반인,0.011
이득(향상적),감성적,일반인,0.022
이득(향상적),감성적,일반인,0.013
이득(향상적),감성적,일반인,0.025
이득(향상적),감성적,일반인,0.01
이득(향상적),감성적,일반인,0.011
이득(향상적),이성적,캐릭터,0.014
이득(향상적),이성적,캐릭터,0.008
손실(예방적),감성적,캐릭터,0.02
손실(예방적),감성적,캐릭터,0.014
이득(향상적),감성적,일반인,0.008
이득(향상적),감성적,일반인,0.008
이득(향상적),감성적,일반인,0.006
이득(향상적),감성적,일반인,0.008
이득(향상적),이성적,캐릭터,0.029
이득(향상적),이성적,캐릭터,0.027
이득(향상적),이성적,캐릭터,0.016
이득(향상적),이성적,캐릭터,0.015
이득(향상적),이성적,일반인,0.018
이득(향상적),감성적,일반인,0.012
이득(향상적),감성적,일반인,0.012
이득(향상적),이성적,전문가,0.012
이득(향상적),이성적,전문가,0.015
이득(향상적),이성적,전문가,0.013
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,일반인,0.029
이득(향상적),감성적,일반인,0.025
이득(향상적),이성적,일반인,0.023
이득(향상적),이성적,일반인,0.013
이득(향상적),감성적,일반인,0.01
이득(향상적),이성적,일반인,0.021
이득(향상적),이성적,일반인,0.042
이득(향상적),감성적,일반인,0.026
이득(향상적),이성적,캐릭터,0.006
이득(향상적),이성적,캐릭터,0.016
이득(향상적),이성적,전문가,0.006
이득(향상적),이성적,전문가,0.002
이득(향상적),이성적,캐릭터,0.012
손실(예방적),감성적,캐릭터,0.017
손실(예방적),감성적,일반인,0.003
이득(향상적),감성적,일반인,0.012
이득(향상적),이성적,캐릭터,0.015
이득(향상적),이성적,전문가,0.017
이득(향상적),이성적,일반인,0.027
이득(향상적),이성적,일반인,0.02
이득(향상적),이성적,일반인,0.03
이득(향상적),이성적,일반인,0.008
이득(향상적),감성적,일반인,0.036
이득(향상적),감성적,일반인,0.012
이득(향상적),이성적,일반인,0.021
