채널,메시지프레이밍,메시지소구,광고모델, 클릭율 
IG,이득(향상적),이성적,캐릭터,3.00%
IG,이득(향상적),감성적,일반인,2.70%
FB,이득(향상적),감성적,일반인,1.60%
IG,이득(향상적),감성적,일반인,1.50%
FB,이득(향상적),감성적,일반인,1.70%
IG,이득(향상적),감성적,일반인,1.10%
FB,이득(향상적),감성적,일반인,1.10%
IG,이득(향상적),이성적,일반인,1.60%
IG,이득(향상적),이성적,일반인,0.90%
IG,이득(향상적),이성적,전문가,2.70%
FB,이득(향상적),이성적,전문가,1.50%
IG,이득(향상적),이성적,일반인,1.60%
FB,이득(향상적),이성적,일반인,1.00%
IG,손실(예방적),감성적,일반인,7.10%
IG,이득(향상적),감성적,일반인,3.20%
IG,이득(향상적),이성적,일반인,1.10%
IG,이득(향상적),이성적,일반인,1.30%
IG,이득(향상적),감성적,일반인,0.90%
FB,이득(향상적),감성적,일반인,1.00%
IG,이득(향상적),이성적,캐릭터,1.90%
FB,이득(향상적),이성적,캐릭터,1.20%
IG,손실(예방적),감성적,캐릭터,1.90%
IG,이득(향상적),이성적,캐릭터,2.00%
IG,이득(향상적),이성적,캐릭터,1.90%
FB,이득(향상적),이성적,일반인,0.90%
IG,이득(향상적),감성적,일반인,1.00%
FB,이득(향상적),감성적,일반인,0.90%
IG,손실(예방적),감성적,일반인,2.30%
FB,손실(예방적),감성적,일반인,1.00%
IG,이득(향상적),이성적,일반인,1.80%
FB,이득(향상적),이성적,일반인,0.80%
IG,이득(향상적),이성적,일반인,2.80%
FB,이득(향상적),이성적,일반인,1.30%
IG,손실(예방적),감성적,일반인,7.10%
IG,이득(향상적),감성적,일반인,6.50%
IG,손실(예방적),감성적,일반인,5.50%
IG,손실(예방적),감성적,일반인,5.50%
FB,이득(향상적),이성적,일반인,2.70%
IG,이득(향상적),감성적,캐릭터,3.70%
FB,이득(향상적),감성적,캐릭터,3.50%
IG,이득(향상적),이성적,캐릭터,2.90%
FB,이득(향상적),이성적,캐릭터,5.60%
IG,이득(향상적),감성적,일반인,4.90%
FB,이득(향상적),감성적,일반인,3.70%
IG,이득(향상적),감성적,캐릭터,3.10%
FB,이득(향상적),감성적,캐릭터,2.30%
IG,이득(향상적),이성적,캐릭터,3.40%
FB,이득(향상적),이성적,캐릭터,3.30%
IG,이득(향상적),이성적,일반인,0.30%
IG,이득(향상적),감성적,일반인,0.80%
IG,이득(향상적),이성적,전문가,0.90%
IG,이득(향상적),이성적,전문가,0.90%
IG,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),감성적,일반인,1.50%
FB,이득(향상적),감성적,일반인,2.30%
IG,이득(향상적),감성적,캐릭터,0.30%
IG,손실(예방적),감성적,캐릭터,0.50%
IG,이득(향상적),이성적,일반인,2.30%
IG,이득(향상적),이성적,일반인,6.40%
IG,이득(향상적),감성적,일반인,1.40%
IG,이득(향상적),감성적,일반인,1.30%
IG,이득(향상적),이성적,일반인,2.60%
IG,이득(향상적),감성적,일반인,1.20%
FB,이득(향상적),이성적,캐릭터,0.70%
IG,이득(향상적),이성적,캐릭터,1.60%
IG,이득(향상적),이성적,전문가,1.40%
IG,이득(향상적),감성적,일반인,1.20%
IG,이득(향상적),이성적,일반인,0.90%
IG,이득(향상적),이성적,캐릭터,0.90%
FB,이득(향상적),이성적,일반인,0.70%
IG,이득(향상적),이성적,일반인,0.40%
FB,이득(향상적),이성적,일반인,0.50%
IG,이득(향상적),이성적,일반인,3.80%
FB,이득(향상적),이성적,일반인,0.90%
IG,이득(향상적),이성적,일반인,3.30%
FB,이득(향상적),이성적,일반인,0.50%
