메시지프레이밍,메시지소구,광고모델,클릭율
1,1,1,0.03
1,2,2,0.027
1,2,2,0.016
1,2,2,0.015
1,2,2,0.017
1,2,2,0.011
1,2,2,0.011
1,1,2,0.016
1,1,2,0.009
1,1,3,0.027
1,1,3,0.015
1,1,2,0.016
1,1,2,0.01
2,2,2,0.071
1,2,2,0.032
1,1,2,0.011
1,1,2,0.013
1,2,2,0.009
1,2,2,0.01
1,1,1,0.019
1,1,1,0.012
2,2,1,0.019
1,1,1,0.02
1,1,1,0.019
1,1,2,0.009
1,2,2,0.01
1,2,2,0.009
2,2,2,0.023
2,2,2,0.01
1,1,2,0.018
1,1,2,0.008
1,1,2,0.028
1,1,2,0.013
2,2,2,0.071
1,2,2,0.065
2,2,2,0.055
2,2,2,0.055
1,1,2,0.027
1,2,1,0.037
1,2,1,0.035
1,1,1,0.029
1,1,1,0.056
1,2,2,0.049
1,2,2,0.037
1,2,1,0.031
1,2,1,0.023
1,1,1,0.034
1,1,1,0.033
1,1,2,0.003
1,2,2,0.008
1,1,3,0.009
1,1,3,0.009
1,2,2,0.012
1,2,2,0.015
1,2,2,0.023
1,2,1,0.003
2,2,1,0.005
1,1,2,0.023
1,1,2,0.064
1,2,2,0.014
1,2,2,0.013
1,1,2,0.026
1,2,2,0.012
1,1,1,0.007
1,1,1,0.016
1,1,3,0.014
1,2,2,0.012
1,1,2,0.009
1,1,1,0.009
1,1,2,0.007
1,1,2,0.004
1,1,2,0.005
1,1,2,0.038
1,1,2,0.009
1,1,2,0.033
1,1,2,0.005
1,1,2,0.024
1,1,2,0.009
1,1,2,0.045
1,1,1,0.024
1,1,3,0.014
1,2,2,0.019
1,2,2,0.013
1,2,2,0.015
1,2,2,0.014
1,2,2,0.012
1,2,2,0.01
1,1,2,0.018
1,1,2,0.013
1,1,3,0.022
1,1,3,0.015
1,1,2,0.01
1,1,2,0.014
2,2,2,0.047
2,2,2,0.021
2,2,2,0.024
2,2,2,0.012
2,2,2,0.028
2,2,2,0.01
1,2,2,0.044
1,2,2,0.015
1,2,2,0.038
1,2,2,0.014
1,1,2,0.011
1,2,2,0.016
1,1,2,0.013
1,1,2,0.015
1,1,2,0.016
1,1,2,0.022
1,1,1,0.02
1,1,1,0.01
2,2,1,0.026
2,2,1,0.017
1,1,1,0.041
1,1,1,0.03
1,1,1,0.026
1,1,1,0.023
1,1,2,0.019
1,2,2,0.01
1,2,2,0.016
1,1,3,0.018
1,1,3,0.013
1,2,2,0.017
1,2,2,0.028
1,2,2,0.034
1,2,2,0.009
1,1,2,0.021
1,2,2,0.014
1,1,2,0.029
1,2,1,0.015
2,2,1,0.012
1,1,2,0.037
1,2,2,0.02
1,1,1,0.006
1,1,1,0.017
1,1,3,0.012
1,1,1,0.013
2,2,1,0.031
1,2,2,0.009
1,1,1,0.008
1,1,1,0.028
2,1,1,0.039
1,1,3,0.011
1,1,2,0.017
1,1,2,0.018
1,1,3,0.009
1,1,3,0.025
1,2,2,0.03
1,2,2,0.014
1,2,2,0.004
1,2,2,0.001
1,2,2,0.006
1,2,2,0.001
1,1,1,0.019
1,1,1,0.021
1,1,2,0.016
1,1,2,0.017
1,1,2,0.007
1,1,3,0.016
1,1,3,0.01
1,1,3,0.018
1,1,3,0.015
1,1,2,0.013
1,1,2,0.012
1,1,2,0.018
1,1,2,0.011
1,1,2,0.025
1,1,2,0.014
1,1,2,0.019
1,1,2,0.005
1,1,2,0.019
1,1,2,0.017
1,1,2,0.017
1,2,2,0.034
1,1,2,0.016
1,1,2,0.019
1,1,2,0.012
1,1,2,0.012
1,2,2,0.011
1,2,2,0.022
1,2,2,0.013
1,2,2,0.025
1,2,2,0.01
1,2,2,0.011
1,1,1,0.014
1,1,1,0.008
2,2,1,0.02
2,2,1,0.014
1,2,2,0.008
1,2,2,0.008
1,2,2,0.006
1,2,2,0.008
1,1,1,0.029
1,1,1,0.027
1,1,1,0.016
1,1,1,0.015
1,1,2,0.018
1,2,2,0.012
1,2,2,0.012
1,1,3,0.012
1,1,3,0.015
1,1,3,0.013
1,2,2,0.015
1,2,2,0.029
1,2,2,0.025
1,1,2,0.023
1,1,2,0.013
1,2,2,0.01
1,1,2,0.021
1,1,2,0.042
1,2,2,0.026
1,1,1,0.006
1,1,1,0.016
1,1,3,0.006
1,1,3,0.002
1,1,1,0.012
2,2,1,0.017
2,2,2,0.003
1,2,2,0.012
1,1,1,0.015
1,1,3,0.017
1,1,2,0.027
1,1,2,0.02
1,1,2,0.03
1,1,2,0.008
1,2,2,0.036
1,2,2,0.012
1,1,2,0.021
1,1,2,0.009
1,2,2,0.02
1,2,2,0.012
1,1,1,0.018
1,1,1,0.016
1,1,2,0.016
1,1,2,0.019
1,1,2,0.012
1,1,3,0.014
1,1,3,0.01
1,2,1,0.036
1,1,3,0.017
1,1,3,0.014
1,1,2,0.01
1,1,2,0.007
1,2,2,0.028
1,2,2,0.014
1,2,2,0.025
1,2,2,0.016
1,2,2,0.025
1,2,2,0.012
1,2,2,0.013
1,1,2,0.012
1,1,1,0.017
1,1,1,0.008
2,2,1,0.021
2,2,1,0.013
1,2,3,0.004
1,1,2,0.012
1,1,3,0.012
1,1,3,0.015
1,2,2,0.02
1,2,2,0.031
1,2,2,0.027
1,1,2,0.012
1,2,2,0.011
1,1,1,0.021
1,1,1,0.019
1,1,2,0.017
1,1,2,0.015
1,1,2,0.01
1,1,3,0.016
1,1,3,0.013
1,2,1,0.043
1,2,1,0.022
1,1,3,0.018
1,1,3,0.013
1,1,2,0.011
1,1,2,0.01
1,2,2,0.015
1,2,2,0.015
1,1,2,0.027
1,1,2,0.051
1,1,2,0.02
1,1,2,0.031
1,1,1,0.016
1,1,1,0.023
1,1,2,0.01
2,2,1,0.008
2,2,1,0.007
1,2,2,0.017
1,2,2,0.029
1,2,2,0.03
1,2,3,0.005
1,2,3,0.003
1,1,2,0.011
1,1,2,0.016
1,1,2,0.028
1,1,2,0.014
1,1,2,0.016
1,2,2,0.013
1,2,2,0.015
1,1,1,0.023
1,1,1,0.019
1,1,2,0.02
1,2,2,0.031
1,2,2,0.014
1,2,2,0.02
1,1,2,0.015
1,1,2,0.012
1,1,3,0.018
1,1,3,0.017
1,2,1,0.028
1,2,1,0.019
1,1,2,0.012
1,2,2,0.016
1,2,2,0.012
1,1,2,0.02
2,2,1,0.12
2,2,1,0.005
1,2,2,0.019
1,2,2,0.035
1,2,2,0.038
1,2,2,0.024
1,2,2,0.018
1,2,2,0.039
1,2,2,0.016
1,2,2,0.016
