채널,메시지프레이밍,메시지소구,광고모델,클릭율
1,1,1,1,0.03000
1,1,2,2,0.02700
2,1,2,2,0.01600
1,1,2,2,0.01500
2,1,2,2,0.01700
1,1,2,2,0.01100
2,1,2,2,0.01100
1,1,1,2,0.01600
1,1,1,2,0.00900
1,1,1,3,0.02700
2,1,1,3,0.01500
1,1,1,2,0.01600
2,1,1,2,0.01000
1,2,2,2,0.07100
1,1,2,2,0.03200
1,1,1,2,0.01100
1,1,1,2,0.01300
1,1,2,2,0.00900
2,1,2,2,0.01000
1,1,1,1,0.01900
2,1,1,1,0.01200
1,2,2,1,0.01900
1,1,1,1,0.02000
1,1,1,1,0.01900
2,1,1,2,0.00900
1,1,2,2,0.01000
2,1,2,2,0.00900
1,2,2,2,0.02300
2,2,2,2,0.01000
1,1,1,2,0.01800
2,1,1,2,0.00800
1,1,1,2,0.02800
2,1,1,2,0.01300
1,2,2,2,0.07100
1,1,2,2,0.06500
1,2,2,2,0.05500
1,2,2,2,0.05500
2,1,1,2,0.02700
1,1,2,1,0.03700
2,1,2,1,0.03500
1,1,1,1,0.02900
2,1,1,1,0.05600
1,1,2,2,0.04900
2,1,2,2,0.03700
1,1,2,1,0.03100
2,1,2,1,0.02300
1,1,1,1,0.03400
2,1,1,1,0.03300
1,1,1,2,0.00300
1,1,2,2,0.00800
1,1,1,3,0.00900
1,1,1,3,0.00900
1,1,2,2,0.01200
1,1,2,2,0.01500
2,1,2,2,0.02300
1,1,2,1,0.00300
1,2,2,1,0.00500
1,1,1,2,0.02300
1,1,1,2,0.06400
1,1,2,2,0.01400
1,1,2,2,0.01300
1,1,1,2,0.02600
1,1,2,2,0.01200
2,1,1,1,0.00700
1,1,1,1,0.01600
1,1,1,3,0.01400
1,1,2,2,0.01200
1,1,1,2,0.00900
1,1,1,1,0.00900
2,1,1,2,0.00700
1,1,1,2,0.00400
2,1,1,2,0.00500
1,1,1,2,0.03800
2,1,1,2,0.00900
1,1,1,2,0.03300
2,1,1,2,0.00500
1,1,1,2,0.02400
